fold,model,target,tuned,best_params,auc,n_train,n_test
fold1,var,highvol_day,,,0.5469107551487414,1153,346
fold1,markov_switching,highvol_day,,,0.5642751379728093,1153,346
fold1,logistic,highvol_day,False,{'clf__C': 1.0},0.47866469242159104,1153,346
fold1,lasso,highvol_day,False,{'clf__C': 0.1},0.4876834028806031,1153,346
fold1,elastic_net,highvol_day,False,{'clf__C': 0.1},0.49952887333423074,1153,346
fold1,random_forest,highvol_day,False,{'min_samples_leaf': 25},0.5296809799434647,1153,346
fold1,xgboost,highvol_day,False,"{'max_depth': 3, 'min_child_weight': 3}",0.5000673038093956,1153,346
fold1,svm,highvol_day,False,"{'clf__C': 2.0, 'clf__gamma': 'scale'}",0.46197334769147935,1153,346
fold1,mlp,highvol_day,False,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.3980347287656482,1153,346
fold2,base_rate,highvol_day,,,0.5,1499,346
fold2,garch_t,highvol_day,,,0.32840909090909093,1499,346
fold2,var,highvol_day,,,0.4361742424242424,1499,346
fold2,markov_switching,highvol_day,,,0.5265151515151516,1499,346
fold2,logistic,highvol_day,True,{'clf__C': 0.01},0.5490530303030303,1499,346
fold2,lasso,highvol_day,True,{'clf__C': 0.01},0.5,1499,346
fold2,elastic_net,highvol_day,True,{'clf__C': 0.01},0.5,1499,346
fold2,random_forest,highvol_day,True,{'min_samples_leaf': 50},0.4738636363636364,1499,346
fold2,xgboost,highvol_day,True,"{'max_depth': 2, 'min_child_weight': 3}",0.46647727272727274,1499,346
fold2,svm,highvol_day,True,"{'clf__C': 0.5, 'clf__gamma': 0.01}",0.6757575757575758,1499,346
fold2,mlp,highvol_day,True,"{'clf__hidden_layer_sizes': (8,), 'clf__alpha': 2.0}",0.4734848484848485,1499,346
fold3,base_rate,highvol_day,,,0.5,1845,346
fold3,garch_t,highvol_day,,,0.6097804391217564,1845,346
fold3,var,highvol_day,,,0.6926147704590818,1845,346
fold3,markov_switching,highvol_day,,,0.6614271457085829,1845,346
fold3,logistic,highvol_day,True,{'clf__C': 0.01},0.530439121756487,1845,346
fold3,lasso,highvol_day,True,{'clf__C': 0.1},0.6763972055888224,1845,346
fold3,elastic_net,highvol_day,True,{'clf__C': 0.1},0.6297405189620758,1845,346
fold3,random_forest,highvol_day,True,{'min_samples_leaf': 50},0.3979540918163673,1845,346
fold3,xgboost,highvol_day,True,"{'max_depth': 3, 'min_child_weight': 3}",0.40219560878243515,1845,346
fold3,svm,highvol_day,True,"{'clf__C': 2.0, 'clf__gamma': 0.01}",0.34855289421157687,1845,346
fold3,mlp,highvol_day,True,"{'clf__hidden_layer_sizes': (8,), 'clf__alpha': 2.0}",0.49476047904191617,1845,346
fold4,base_rate,highvol_day,,,0.5,2191,346
fold4,garch_t,highvol_day,,,0.6527745797835597,2191,346
fold4,var,highvol_day,,,0.6889247064241308,2191,346
fold4,markov_switching,highvol_day,,,0.7275308926241462,2191,346
fold4,logistic,highvol_day,True,{'clf__C': 0.01},0.33617315219894084,2191,346
fold4,lasso,highvol_day,True,{'clf__C': 0.1},0.4370250978586231,2191,346
fold4,elastic_net,highvol_day,True,{'clf__C': 0.1},0.38537109524905977,2191,346
fold4,random_forest,highvol_day,True,{'min_samples_leaf': 25},0.4289661524291964,2191,346
fold4,xgboost,highvol_day,True,"{'max_depth': 3, 'min_child_weight': 10}",0.44132320208765063,2191,346
fold4,svm,highvol_day,True,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.3717860158108834,2191,346
fold4,mlp,highvol_day,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.35566812495203004,2191,346
fold5,base_rate,highvol_day,,,0.5,2537,346
fold5,garch_t,highvol_day,,,0.5026073619631901,2537,346
fold5,var,highvol_day,,,0.4460122699386503,2537,346
fold5,markov_switching,highvol_day,,,0.49739263803680983,2537,346
fold5,logistic,highvol_day,True,{'clf__C': 0.01},0.6352760736196319,2537,346
fold5,lasso,highvol_day,True,{'clf__C': 0.1},0.6691717791411043,2537,346
fold5,elastic_net,highvol_day,True,{'clf__C': 0.1},0.688957055214724,2537,346
fold5,random_forest,highvol_day,True,{'min_samples_leaf': 10},0.5409509202453988,2537,346
fold5,xgboost,highvol_day,True,"{'max_depth': 2, 'min_child_weight': 10}",0.5952453987730062,2537,346
fold5,svm,highvol_day,True,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.4483128834355828,2537,346
fold5,mlp,highvol_day,True,"{'clf__hidden_layer_sizes': (8,), 'clf__alpha': 2.0}",0.5421779141104294,2537,346
stress_2024,base_rate,highvol_day,,,0.5,2220,262
stress_2024,garch_t,highvol_day,,,0.611935150051742,2220,262
stress_2024,var,highvol_day,,,0.7201333793262045,2220,262
stress_2024,markov_switching,highvol_day,,,0.7476141198114292,2220,262
stress_2024,logistic,highvol_day,True,{'clf__C': 0.01},0.3326434402667587,2220,262
stress_2024,lasso,highvol_day,True,{'clf__C': 0.1},0.41750028745544443,2220,262
stress_2024,elastic_net,highvol_day,True,{'clf__C': 0.1},0.36288375301828213,2220,262
stress_2024,random_forest,highvol_day,True,{'min_samples_leaf': 10},0.4584339427388755,2220,262
stress_2024,xgboost,highvol_day,True,"{'max_depth': 2, 'min_child_weight': 3}",0.404277337012763,2220,262
stress_2024,svm,highvol_day,True,"{'clf__C': 2.0, 'clf__gamma': 0.01}",0.37403702426123947,2220,262
stress_2024,mlp,highvol_day,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 2.0}",0.3543750718638611,2220,262
